"UNIQUEID","StreetAddress","City","State","Zip"
"194","27620 Marguerite Pkwy, Ste C","Mission Viejo","CA","92691"
"195","979 Avenida Pico, Ste A","San Clemente","CA","92673"
"196","20671 Lake Forest Dr, Ste B101","Lake Forest","CA","92630"
"197","3414 W Ball Rd, Ste N","Anaheim","CA","92804"
"198","4035 E Chapman Ave","Orange","CA","92869"
"199","401 Newport Center Dr, Ste A110","Newport Beach","CA","92660"
"200","304 Main St","Newport Beach","CA","92661"
"201","1198 S State College Blvd","Anaheim","CA","92806"
"202","1500 W Ball Rd","Anaheim","CA","92802"
"203","28813 Los Alisos Dr","Mission Viejo","CA","92692"
"204","2737 N Grand Ave","Santa Ana","CA","92705"
"205","120 S El Camino Real","San Clemente","CA","92672"
"206","600 E Bay Ave, Ste A7","Newport Beach","CA","92661"
"207","24301 Muirlands Blvd, Ste S","Lake Forest","CA","92630"
"208","662 El Camino Real","Tustin","CA","92780"
"209","791 S Main St, Ste 100","Orange","CA","92868"
"210","728 Spectrum Center Dr","Irvine","CA","92618"
"211","27221 Ortega Hwy, Ste G","San Juan Capistrano","CA","92675"
"212","217 Marine Ave","Newport Beach","CA","92662"
"213","26886 La Paz Rd","Aliso Viejo","CA","92656"
"214","512 N Euclid St","Anaheim","CA","92801"
"215","1646 W Katella Ave, Ste 4","Anaheim","CA","92802"
"216","203 W Imperial Hwy, Ste G","Brea","CA","92821"
"217","1927 Harbor Blvd","Costa Mesa","CA","92627"
"218","4193 Ball Rd","Cypress","CA","90630"
"219","136 W Orangethorpe Ave","Fullerton","CA","92832"
"220","5971 Warner Ave","Huntington Beach","CA","92649"
"221","1220 Bison Ave, Ste A1","Newport Beach","CA","92660"
"222","1736 E Meats Ave","Orange","CA","92865"
"223","18551 E Chapman Ave, Ste A","Orange","CA","92869"
"224","104 E Yorba Linda Blvd","Placentia","CA","92870"
"225","2800 N Main Pkwy, Ste 9220","Santa Ana","CA","92705"
"226","1460 Baker St, Ste B","Costa Mesa","CA","92626"
"227","18051 Magnolia St","Fountain Valley","CA","92708"
"228","19465 Brookhurst St","Huntington Beach","CA","92646"
"229","535 Main St, Ste B","Tustin","CA","92780"
"230","22922 Los Alisos Blvd","Mission Viejo","CA","92691"
"231","1801 E Katella Ave, Unit 1005","Anaheim","CA","92805"
"232","21058 Pacific Coast Hwy, Ste M210","Huntington Beach","CA","92648"
"233","16001 Beach Blvd","Huntington Beach","CA","92647"
"234","11500 Beach Blvd","Stanton","CA","90680"
"235","200 Cultivate","Irvine","CA","92618"
"236","1909 E Lincoln Ave","Anaheim","CA","92805"
"237","23041 Savi Ranch Pkwy","Yorba Linda","CA","92887"
"238","12345 Springdale St","Garden Grove","CA","92845"
"239","22232 El Paseo","Rancho Santa Margarita","CA","92688"
"240","301 City Dr","Orange","CA","92868"
"241","1313 S Harbor Blvd","Anaheim","CA","92802"
"242","2102 Business Center Dr, Ste 180B","Irvine","CA","92612"
"243","2800 N Main St, Ste 580","Santa Ana","CA","92705"
"244","1065 Brea Mall Way, Ste K133","Brea","CA","92821"
"245","27174 Ortega Hwy","San Juan Capistrano","CA","92675"
"246","1601 N El Camino Real","San Clemente","CA","92672"
"247","10591 Los Alamitos Blvd","Los Alamitos","CA","90720"
"248","2700 Hotel Terrace Dr","Santa Ana","CA","92705"
"249","1110 W Katella Ave","Anaheim","CA","92802"
"250","19360 Beach Blvd","Huntington Beach","CA","92648"
"251","755 E Birch St","Brea","CA","92821"
"252","6820 Katella Ave","Cypress","CA","90630"
"253","16672 Beach Blvd, Ste K","Huntington Beach","CA","92647"
"254","15315 Culver Dr, Ste 190","Irvine","CA","92604"
"255","27662 Antonio Pkwy","Ladera Ranch","CA","92694"
"256","23635 El Toro Rd, Ste B","Lake Forest","CA","92630"
"257","3450 W Ball Rd","Anaheim","CA","92804"
"258","1512 E Collins Ave","Orange","CA","92867"
"259","8320 On The Mall, Ste 2400","Buena Park","CA","90620"
"260","23251 Avenida De La Carlota","Laguna Hills","CA","92653"
"261","1332 S Magnolia Ave","Anaheim","CA","92804"
"262","1 Big Canyon Dr","Newport Beach","CA","92660"
"263","252 S Euclid St","Anaheim","CA","92801"
"264","210 Newport Center Dr","Newport Beach","CA","92660"
"265","300 Newport Center Dr","Newport Beach","CA","92660"
"266","24501 Marguerite Pkwy, Ste 1","Mission Viejo","CA","92692"
"267","111 Avenida Del Mar, Ste 1A","San Clemente","CA","92672"
"268","19100 Von Karman Ave","Irvine","CA","92612"
"269","4000 MacArthur, Ste 103","Newport Beach","CA","92660"
"270","2523 Eastbluff Dr","Newport Beach","CA","92660"
"271","280 S Coast Hwy","Laguna Beach","CA","92651"
"272","16060 Beach Blvd","Huntington Beach","CA","92647"
"273","440 S Anaheim Blvd, Ste 213","Anaheim","CA","92805"
"274","1800 S Harbor Blvd, Ste 102","Anaheim","CA","92802"
"275","2156 Brea Mall Dr","Brea","CA","92821"
"276","4255 Campus Dr","Irvine","CA","92612"
"277","27231 La Paz Rd, Ste C","Laguna Niguel","CA","92677"
"278","555 The Shops At MV","Mission Viejo","CA","92691"
"279","1091 Newport Center Dr","Newport Beach","CA","92660"
"280","2139 N Tustin St, Ste 3","Orange","CA","92865"
"281","101 S Glassell St","Orange","CA","92866"
"282","225 W Avenida Vista Hermosa, Ste A","San Clemente","CA","92672"
"283","656 N Coast Hwy","Laguna Beach","CA","92651"
"284","1313 S Harbor Blvd","Anaheim","CA","92802"
"285","417 S Main St","Orange","CA","92868"
